time_bin,label,source
2020-03-29 17:35:00,1.0,mis/imp
2020-03-29 17:50:00,1.0,mis/imp
2020-03-29 18:05:00,,mis/imp
2020-03-29 18:20:00,,mis/imp
2020-03-29 18:35:00,,mis/imp
2020-03-29 18:50:00,,mis/imp
2020-03-29 19:05:00,,mis/imp
2020-03-29 19:20:00,,mis/imp
2020-03-29 19:35:00,,mis/imp
2020-03-29 19:50:00,,mis/imp
2020-03-29 20:05:00,,mis/imp
2020-03-29 20:20:00,,mis/imp
2020-03-29 20:35:00,,mis/imp
2020-03-29 20:50:00,,mis/imp
2020-03-30 07:05:00,,mis/imp
2020-03-30 07:20:00,,mis/imp
2020-03-30 07:35:00,,mis/imp
2020-03-30 07:50:00,,mis/imp
2020-03-30 08:05:00,,mis/imp
2020-03-30 08:20:00,,mis/imp
2020-03-30 08:35:00,,mis/imp
2020-03-30 08:50:00,,mis/imp
2020-03-30 09:05:00,,mis/imp
2020-03-30 09:20:00,,mis/imp
2020-03-30 09:35:00,,mis/imp
2020-03-30 09:50:00,,mis/imp
2020-03-30 10:05:00,,mis/imp
2020-03-30 10:20:00,,mis/imp
2020-03-30 10:35:00,,mis/imp
2020-03-30 10:50:00,,mis/imp
2020-03-30 11:05:00,,mis/imp
2020-03-30 11:20:00,,mis/imp
2020-03-30 11:35:00,,mis/imp
2020-03-30 11:50:00,,mis/imp
2020-03-30 12:05:00,,mis/imp
2020-03-30 12:20:00,,mis/imp
2020-03-30 12:35:00,,mis/imp
2020-03-30 12:50:00,,mis/imp
2020-03-30 13:05:00,,mis/imp
2020-03-30 13:20:00,,mis/imp
2020-03-30 13:35:00,,mis/imp
2020-03-30 13:50:00,,mis/imp
2020-03-30 14:05:00,,mis/imp
2020-03-30 14:20:00,,mis/imp
2020-03-30 14:35:00,,mis/imp
2020-03-30 14:50:00,,mis/imp
2020-03-30 15:05:00,,mis/imp
2020-03-30 15:20:00,,mis/imp
2020-03-30 15:35:00,,mis/imp
2020-03-30 15:50:00,,mis/imp
2020-03-30 16:05:00,,mis/imp
2020-03-30 16:20:00,,mis/imp
2020-03-30 16:35:00,,mis/imp
2020-03-30 16:50:00,,mis/imp
2020-03-30 17:05:00,,mis/imp
2020-03-30 17:20:00,,mis/imp
