current_popularity,datetime,time_bin
21,4/7/2020 9:21,2020-04-07 09:20:00
20,4/7/2020 9:41,2020-04-07 09:35:00
22,4/7/2020 9:51,2020-04-07 09:50:00
21,4/7/2020 10:11,2020-04-07 10:05:00
20,4/7/2020 10:21,2020-04-07 10:20:00
19,4/7/2020 10:41,2020-04-07 10:35:00
21,4/7/2020 10:51,2020-04-07 10:50:00
19,4/7/2020 11:11,2020-04-07 11:05:00
19,4/7/2020 11:21,2020-04-07 11:20:00
21,4/7/2020 11:41,2020-04-07 11:35:00
25,4/7/2020 11:51,2020-04-07 11:50:00
23,4/7/2020 12:11,2020-04-07 12:05:00
24,4/7/2020 12:21,2020-04-07 12:20:00
25,4/7/2020 12:42,2020-04-07 12:35:00
28,4/7/2020 12:52,2020-04-07 12:50:00
26,4/7/2020 13:12,2020-04-07 13:05:00
26,4/7/2020 13:22,2020-04-07 13:20:00
28,4/7/2020 13:42,2020-04-07 13:35:00
32,4/7/2020 13:52,2020-04-07 13:50:00
29,4/7/2020 14:12,2020-04-07 14:05:00
29,4/7/2020 14:22,2020-04-07 14:20:00
32,4/7/2020 14:42,2020-04-07 14:35:00
39,4/7/2020 14:52,2020-04-07 14:50:00
36,4/7/2020 15:12,2020-04-07 15:05:00
36,4/7/2020 15:22,2020-04-07 15:20:00
39,4/7/2020 15:42,2020-04-07 15:35:00
39,4/7/2020 15:52,2020-04-07 15:50:00
40,4/7/2020 16:12,2020-04-07 16:05:00
36,4/7/2020 16:22,2020-04-07 16:20:00
43,4/7/2020 16:43,2020-04-07 16:35:00
42,4/7/2020 16:53,2020-04-07 16:50:00
44,4/7/2020 17:13,2020-04-07 17:05:00
41,4/7/2020 17:23,2020-04-07 17:20:00
46,4/7/2020 17:43,2020-04-07 17:35:00
45,4/7/2020 17:53,2020-04-07 17:50:00
46,4/7/2020 18:13,2020-04-07 18:05:00
42,4/7/2020 18:21,2020-04-07 18:20:00
47,4/7/2020 18:41,2020-04-07 18:35:00
46,4/7/2020 18:51,2020-04-07 18:50:00
44,4/7/2020 19:11,2020-04-07 19:05:00
39,4/7/2020 19:21,2020-04-07 19:20:00
33,4/7/2020 19:41,2020-04-07 19:35:00
32,4/7/2020 19:51,2020-04-07 19:50:00
28,4/7/2020 20:11,2020-04-07 20:05:00
25,4/7/2020 20:21,2020-04-07 20:20:00
20,4/7/2020 20:41,2020-04-07 20:35:00
18,4/7/2020 20:51,2020-04-07 20:50:00
4,4/8/2020 6:02,2020-04-08 05:50:00
4,4/8/2020 6:12,2020-04-08 06:05:00
4,4/8/2020 6:22,2020-04-08 06:20:00
6,4/8/2020 6:42,2020-04-08 06:35:00
7,4/8/2020 6:52,2020-04-08 06:50:00
10,4/8/2020 7:12,2020-04-08 07:05:00
10,4/8/2020 7:22,2020-04-08 07:20:00
13,4/8/2020 7:42,2020-04-08 07:35:00
13,4/8/2020 7:52,2020-04-08 07:50:00
16,4/8/2020 8:12,2020-04-08 08:05:00
15,4/8/2020 8:22,2020-04-08 08:20:00
16,4/8/2020 8:42,2020-04-08 08:35:00
18,4/8/2020 8:52,2020-04-08 08:50:00
18,4/8/2020 9:12,2020-04-08 09:05:00
17,4/8/2020 9:22,2020-04-08 09:20:00
17,4/8/2020 9:42,2020-04-08 09:35:00
20,4/8/2020 9:52,2020-04-08 09:50:00
19,4/8/2020 10:12,2020-04-08 10:05:00
19,4/8/2020 10:22,2020-04-08 10:20:00
19,4/8/2020 10:42,2020-04-08 10:35:00
21,4/8/2020 10:52,2020-04-08 10:50:00
21,4/8/2020 11:13,2020-04-08 11:05:00
20,4/8/2020 11:23,2020-04-08 11:20:00
20,4/8/2020 11:43,2020-04-08 11:35:00
23,4/8/2020 11:53,2020-04-08 11:50:00
21,4/8/2020 12:13,2020-04-08 12:05:00
21,4/8/2020 12:23,2020-04-08 12:20:00
23,4/8/2020 12:43,2020-04-08 12:35:00
27,4/8/2020 12:53,2020-04-08 12:50:00
25,4/8/2020 13:13,2020-04-08 13:05:00
26,4/8/2020 13:23,2020-04-08 13:20:00
28,4/8/2020 13:43,2020-04-08 13:35:00
34,4/8/2020 13:53,2020-04-08 13:50:00
31,4/8/2020 14:13,2020-04-08 14:05:00
32,4/8/2020 14:23,2020-04-08 14:20:00
34,4/8/2020 14:43,2020-04-08 14:35:00
38,4/8/2020 14:53,2020-04-08 14:50:00
33,4/8/2020 15:14,2020-04-08 15:05:00
33,4/8/2020 15:24,2020-04-08 15:20:00
34,4/8/2020 15:44,2020-04-08 15:35:00
41,4/8/2020 15:54,2020-04-08 15:50:00
35,4/8/2020 16:14,2020-04-08 16:05:00
34,4/8/2020 16:24,2020-04-08 16:20:00
36,4/8/2020 16:44,2020-04-08 16:35:00
43,4/8/2020 16:54,2020-04-08 16:50:00
37,4/8/2020 17:14,2020-04-08 17:05:00
38,4/8/2020 17:24,2020-04-08 17:20:00
42,4/8/2020 17:44,2020-04-08 17:35:00
48,4/8/2020 17:54,2020-04-08 17:50:00
43,4/8/2020 18:14,2020-04-08 18:05:00
43,4/8/2020 18:24,2020-04-08 18:20:00
44,4/8/2020 18:44,2020-04-08 18:35:00
43,4/8/2020 18:54,2020-04-08 18:50:00
43,4/8/2020 19:15,2020-04-08 19:05:00
38,4/8/2020 19:25,2020-04-08 19:20:00
37,4/8/2020 19:35,2020-04-08 19:35:00
34,4/8/2020 19:55,2020-04-08 19:50:00
34,4/8/2020 20:05,2020-04-08 20:05:00
26,4/8/2020 20:25,2020-04-08 20:20:00
23,4/8/2020 20:35,2020-04-08 20:35:00
17,4/8/2020 20:55,2020-04-08 20:50:00
18,4/8/2020 21:05,2020-04-08 21:05:00
6,4/9/2020 6:05,2020-04-09 06:05:00
6,4/9/2020 6:25,2020-04-09 06:20:00
6,4/9/2020 6:35,2020-04-09 06:35:00
9,4/9/2020 6:55,2020-04-09 06:50:00
10,4/9/2020 7:05,2020-04-09 07:05:00
11,4/9/2020 7:25,2020-04-09 07:20:00
12,4/9/2020 7:35,2020-04-09 07:35:00
16,4/9/2020 7:55,2020-04-09 07:50:00
16,4/9/2020 8:05,2020-04-09 08:05:00
16,4/9/2020 8:25,2020-04-09 08:20:00
16,4/9/2020 8:35,2020-04-09 08:35:00
21,4/9/2020 8:55,2020-04-09 08:50:00
20,4/9/2020 9:05,2020-04-09 09:05:00
18,4/9/2020 9:25,2020-04-09 09:20:00
18,4/9/2020 9:35,2020-04-09 09:35:00
20,4/9/2020 9:56,2020-04-09 09:50:00
17,4/9/2020 10:06,2020-04-09 10:05:00
15,4/9/2020 10:26,2020-04-09 10:20:00
16,4/9/2020 10:36,2020-04-09 10:35:00
16,4/9/2020 10:56,2020-04-09 10:50:00
16,4/9/2020 11:06,2020-04-09 11:05:00
14,4/9/2020 11:26,2020-04-09 11:20:00
15,4/9/2020 11:36,2020-04-09 11:35:00
15,4/9/2020 11:56,2020-04-09 11:50:00
18,4/9/2020 12:06,2020-04-09 12:05:00
16,4/9/2020 12:26,2020-04-09 12:20:00
16,4/9/2020 12:36,2020-04-09 12:35:00
18,4/9/2020 12:56,2020-04-09 12:50:00
21,4/9/2020 13:06,2020-04-09 13:05:00
19,4/9/2020 13:26,2020-04-09 13:20:00
19,4/9/2020 13:37,2020-04-09 13:35:00
21,4/9/2020 13:57,2020-04-09 13:50:00
20,4/9/2020 14:07,2020-04-09 14:05:00
18,4/9/2020 14:27,2020-04-09 14:20:00
19,4/9/2020 14:37,2020-04-09 14:35:00
20,4/9/2020 14:57,2020-04-09 14:50:00
18,4/9/2020 15:07,2020-04-09 15:05:00
17,4/9/2020 15:27,2020-04-09 15:20:00
18,4/9/2020 15:37,2020-04-09 15:35:00
20,4/9/2020 15:57,2020-04-09 15:50:00
17,4/9/2020 16:07,2020-04-09 16:05:00
16,4/9/2020 16:27,2020-04-09 16:20:00
17,4/9/2020 16:37,2020-04-09 16:35:00
21,4/9/2020 16:57,2020-04-09 16:50:00
19,4/9/2020 17:07,2020-04-09 17:05:00
18,4/9/2020 17:27,2020-04-09 17:20:00
21,4/9/2020 17:37,2020-04-09 17:35:00
29,4/9/2020 17:57,2020-04-09 17:50:00
26,4/9/2020 18:08,2020-04-09 18:05:00
25,4/9/2020 18:28,2020-04-09 18:20:00
26,4/9/2020 18:38,2020-04-09 18:35:00
29,4/9/2020 18:58,2020-04-09 18:50:00
27,4/9/2020 19:08,2020-04-09 19:05:00
24,4/9/2020 19:28,2020-04-09 19:20:00
24,4/9/2020 19:38,2020-04-09 19:35:00
24,4/9/2020 19:58,2020-04-09 19:50:00
23,4/9/2020 20:08,2020-04-09 20:05:00
18,4/9/2020 20:28,2020-04-09 20:20:00
16,4/9/2020 20:38,2020-04-09 20:35:00
14,4/9/2020 20:58,2020-04-09 20:50:00
13,4/9/2020 21:08,2020-04-09 21:05:00
5,4/10/2020 6:08,2020-04-10 06:05:00
5,4/10/2020 6:28,2020-04-10 06:20:00
6,4/10/2020 6:38,2020-04-10 06:35:00
9,4/10/2020 6:58,2020-04-10 06:50:00
10,4/10/2020 7:08,2020-04-10 07:05:00
10,4/10/2020 7:28,2020-04-10 07:20:00
12,4/10/2020 7:38,2020-04-10 07:35:00
16,4/10/2020 7:58,2020-04-10 07:50:00
15,4/10/2020 8:08,2020-04-10 08:05:00
15,4/10/2020 8:29,2020-04-10 08:20:00
18,4/10/2020 8:39,2020-04-10 08:35:00
22,4/10/2020 8:59,2020-04-10 08:50:00
19,4/10/2020 9:09,2020-04-10 09:05:00
18,4/10/2020 9:29,2020-04-10 09:20:00
20,4/10/2020 9:39,2020-04-10 09:35:00
22,4/10/2020 9:59,2020-04-10 09:50:00
19,4/10/2020 10:09,2020-04-10 10:05:00
17,4/10/2020 10:29,2020-04-10 10:20:00
18,4/10/2020 10:39,2020-04-10 10:35:00
19,4/10/2020 10:59,2020-04-10 10:50:00
18,4/10/2020 11:09,2020-04-10 11:05:00
16,4/10/2020 11:29,2020-04-10 11:20:00
15,4/10/2020 11:39,2020-04-10 11:35:00
20,4/10/2020 11:59,2020-04-10 11:50:00
20,4/10/2020 12:09,2020-04-10 12:05:00
19,4/10/2020 12:29,2020-04-10 12:20:00
18,4/10/2020 12:39,2020-04-10 12:35:00
24,4/10/2020 13:00,2020-04-10 12:50:00
22,4/10/2020 13:10,2020-04-10 13:05:00
21,4/10/2020 13:20,2020-04-10 13:20:00
20,4/10/2020 13:40,2020-04-10 13:35:00
22,4/10/2020 13:50,2020-04-10 13:50:00
22,4/10/2020 14:10,2020-04-10 14:05:00
21,4/10/2020 14:20,2020-04-10 14:20:00
21,4/10/2020 14:40,2020-04-10 14:35:00
23,4/10/2020 14:50,2020-04-10 14:50:00
21,4/10/2020 15:10,2020-04-10 15:05:00
20,4/10/2020 15:20,2020-04-10 15:20:00
19,4/10/2020 15:40,2020-04-10 15:35:00
21,4/10/2020 15:50,2020-04-10 15:50:00
20,4/10/2020 16:10,2020-04-10 16:05:00
19,4/10/2020 16:20,2020-04-10 16:20:00
18,4/10/2020 16:40,2020-04-10 16:35:00
20,4/10/2020 16:50,2020-04-10 16:50:00
17,4/10/2020 17:11,2020-04-10 17:05:00
16,4/10/2020 17:21,2020-04-10 17:20:00
16,4/10/2020 17:41,2020-04-10 17:35:00
19,4/10/2020 17:51,2020-04-10 17:50:00
17,4/10/2020 18:11,2020-04-10 18:05:00
16,4/10/2020 18:21,2020-04-10 18:20:00
16,4/10/2020 18:41,2020-04-10 18:35:00
19,4/10/2020 18:51,2020-04-10 18:50:00
18,4/10/2020 19:11,2020-04-10 19:05:00
17,4/10/2020 19:21,2020-04-10 19:20:00
16,4/10/2020 19:41,2020-04-10 19:35:00
16,4/10/2020 19:51,2020-04-10 19:50:00
14,4/10/2020 20:11,2020-04-10 20:05:00
13,4/10/2020 20:21,2020-04-10 20:20:00
10,4/10/2020 20:41,2020-04-10 20:35:00
11,4/10/2020 20:51,2020-04-10 20:50:00
5,4/11/2020 6:02,2020-04-11 05:50:00
5,4/11/2020 6:12,2020-04-11 06:05:00
5,4/11/2020 6:22,2020-04-11 06:20:00
6,4/11/2020 6:42,2020-04-11 06:35:00
6,4/11/2020 6:52,2020-04-11 06:50:00
10,4/11/2020 7:12,2020-04-11 07:05:00
10,4/11/2020 7:22,2020-04-11 07:20:00
13,4/11/2020 7:42,2020-04-11 07:35:00
13,4/11/2020 7:52,2020-04-11 07:50:00
19,4/11/2020 8:12,2020-04-11 08:05:00
18,4/11/2020 8:22,2020-04-11 08:20:00
21,4/11/2020 8:42,2020-04-11 08:35:00
25,4/11/2020 8:52,2020-04-11 08:50:00
28,4/11/2020 9:12,2020-04-11 09:05:00
