time_bin,label,source,current_popularity,temp,humidity,wind_deg,press,rain_1h,wind_speed
2020-03-25 12:35:00,,mis/imp,,41.94142226448701,81.67907519672242,58.82808018670666,1019.5010081166245,5.2184021572621856e-30,18.240287882101843
2020-03-25 12:50:00,0.0,mis/imp,,42.08,82.0,60.0,1019.4,0.0,18.4
2020-03-25 13:05:00,0.0,obs,,42.429515956695155,81.65346668884045,61.82583815958218,1019.3411867082574,-2.492293228942382e-30,18.87000067243985
2020-03-25 13:20:00,0.0,mis/imp,,42.98997013457248,80.63947526324378,64.30559466545321,1019.3245682413968,-2.2584775295649586e-30,19.6502898994214
2020-03-25 13:35:00,0.0,mis/imp,,43.590439245163566,79.55574620602523,67.13255383859764,1019.3206656538376,-8.954230654050551e-31,20.780434176692246
2020-03-25 13:50:00,,mis/imp,,44.06,79.0,70.0,1019.3,0.0,22.3
2020-03-25 14:05:00,,mis/imp,,44.39865239908181,78.97223664516811,72.90793314966034,1019.2625712798837,4.277916666502086e-31,24.208987369344662
2020-03-25 14:20:00,,mis/imp,,44.60639644240897,79.47245614152955,75.85635328757861,1019.208379493489,3.8795193454556997e-31,26.507396284726234
2020-03-25 14:35:00,,mis/imp,,44.76594226453165,79.98644756712622,78.37659678170759,1019.1249979603498,1.5413623516814638e-31,28.502107057744684
2020-03-25 14:50:00,,mis/imp,,44.96,80.0,80.0,1019.0,0.0,29.5
2020-03-25 15:05:00,,mis/imp,,45.18856964881402,79.5131134401509,80.72656294245587,1018.83338561244,-7.445677095886923e-32,29.501075111492177
2020-03-25 15:20:00,1.0,mis/imp,,45.45165121097372,78.5257878875789,80.55628560907516,1018.6251547976693,-6.923407770846133e-32,28.505332392221217
2020-03-25 15:35:00,1.0,obs,,45.73890716764656,77.27556839121748,80.10786547115687,1018.4293465840642,-2.9394345603822766e-32,27.556923476839646
2020-03-25 15:50:00,1.0,mis/imp,,46.04,76.0,80.0,1018.3,0.0,27.7
2020-03-25 16:05:00,1.0,mis/imp,,46.354929708034064,74.69908271392653,80.23268919560452,1018.2371150454773,1.894895910300694e-32,28.93456196170228
2020-03-25 16:20:00,,mis/imp,,46.68369629174872,73.37281653299699,80.80593305797044,1018.2406917204953,2.745253170519806e-32,31.26060936194648
2020-03-25 16:35:00,,mis/imp,,46.915614729589024,72.11014208556898,80.97621039135116,1018.2489225352657,2.2229838454790152e-32,33.70635208121743
2020-03-25 16:50:00,,mis/imp,,46.94,71.0,80.0,1018.2,0.0,35.3
2020-03-25 17:05:00,,mis/imp,,46.756852102981654,70.04239027629008,77.87730188391707,1018.0939241146983,-3.9236983659172383e-32,36.04155311829416
2020-03-25 17:20:00,,mis/imp,,46.366171038534006,69.2373129144392,74.60811604310227,1017.9306948793603,-9.548111252272704e-32,35.93101143609992
2020-03-25 17:35:00,,mis/imp,,46.037404454819345,68.56357909536872,71.53487218073636,1017.7271182043423,-1.0398468512491816e-31,35.05496403585573
2020-03-25 17:50:00,1.0,mis/imp,,46.04,68.0,70.0,1017.5,0.0,33.5
